Event Code,Week Number,Event Name,Team Count,City,State
ARLI,2,Arkansas Regional,0,Searcy,AR
AUSC,2,Southern Cross Regional,0,Cambridge Park,NSW
AZFG,3,Arizona North Regional,0,Flagstaff,AZ
AZGL,4,Arizona East Regional,0,Tempe,AZ
BCVI,1,Canadian Pacific Regional,0,Vancouver,BC
BRBA,3,Regional Brazil - Brasilia,0,TBD,DF
BRSP,4,Regional Brazil - São Paulo,0,Vila Leopoldina,SP
CAAV,6,Aerospace Valley Regional,0,Lancaster,CA
CABE,6,East Bay Regional,0,Berkeley,CA
CADA,4,Sacramento Regional,0,Elk Grove,CA
CAFR,6,Central Valley Regional,0,Fresno,CA
CALA,3,Los Angeles Regional,0,El Segundo,CA
CAMB,1,Pinnacles Regional,0,Hollister,CA
CAOC,1,Orange County Regional,0,Costa Mesa,CA
CAPH,1,Hueneme Port Regional,0,Port Hueneme,CA
CASD,4,San Diego Regional presented by Qualcomm,0,La Jolla,CA
CASF,4,San Francisco Regional,0,San Francisco,CA
CASJ,3,Silicon Valley Regional,0,Woodside,CA
CAVE,2,Ventura County Regional,0,Port Hueneme,CA
CHCMP,6,FIRST Chesapeake District Championship,0,Upper Marlboro,MD
CNSH,3,Shanghai Regional,0,Minhang District,SH
CODE,4,Colorado Regional,0,Denver,CO
CTHAR,5,NE District Hartford Event,0,Hartford,CT
CTWAT,2,NE District Waterbury Event,0,Waterbury,CT
FLOR,4,Orlando Regional,0,Orlando,FL
FLTA,3,Tallahassee Regional,0,Tallahassee,FL
FLWP,6,South Florida Regional,0,Coral Gables,FL
GAALB,5,PCH District Albany Event presented by Procter & Gamble,0,Albany,GA
GACMP,6,Peachtree District Championship presented by Mercer University,0,Macon,GA
GADAL,2,PCH District Dalton Event presented by Shaw Industries,0,Dalton,GA
GAGAI,1,PCH District Gainesville Event,0,Gainesville,GA
GAGWI,3,PCH District Gwinnett Event presented by Gwinnett County School System,0,Lawrenceville,GA
GASTA,4,PCH District Statesboro Event,0,Statesboro,GA
HIHO,4,Hawaii Regional,0,Honolulu,HI
